Problem,Loss - e1,Acc -e1,F1 - e1,Loss - e5,	Acc -e5,F1 - e5,Loss - e10,Acc -e10,F1 - e10,Loss - e20,Acc -e20,F1 - e20
nrtri, 1.7038986682891846, 0.17391304347826086, 0.14814814814814817, 0.36874401569366455, 0.8260869565217391, 0.45238095238095233, 0.3641958236694336, 0.9130434782608695, 0.8578296703296704, 0.3094286024570465, 0.8695652173913043, 0.8035431825371717
sate, 0.5734885334968567, 0.75, 0.7309442150206482, 0.389171302318573, 0.7419354838709677, 0.572965992251399, 0.2661711871623993, 0.8870967741935484, 0.8790412486064659, 0.2520027458667755, 0.8709677419354839, 0.8629455650732247
apm, 1.7151705026626587, 0.44, 0.3055555555555556, 0.5093084573745728, 0.6685714285714286, 0.5837434383202099, 0.25046488642692566, 0.8914285714285715, 0.8902676479324114, 0.16300004720687866, 0.9428571428571428, 0.9410059331175836
ctc, 0.5719907283782959, 0.5828220858895705, 0.45474222746950016, 0.5177400708198547, 0.6196319018404908, 0.5241996233521657, 0.2091735154390335, 0.9263803680981595, 0.9262443438914028, 0.14764051139354706, 0.9386503067484663, 0.9378052503052503
dmin, 2.40995717048645, 0.49, 0.32885906040268453, 0.9821498990058899, 0.49, 0.32885906040268453, 0.7135769724845886, 0.5, 0.3658041603247083, 0.6160953044891357, 0.7, 0.6989160979526294
cmap, 0.9236664772033691, 0.5621621621621622, 0.3709332101926871, 0.235647052526474, 0.9243243243243243, 0.9218372766779335, 0.10503128916025162, 0.9621621621621622, 0.9615144580819639, 0.03750622645020485, 1.0, 1.0
swap, 1.1621438264846802, 0.5348837209302325, 0.34848484848484845, 0.5724323391914368, 0.627906976744186, 0.5992427552060579, 0.3366178572177887, 0.8604651162790697, 0.860446247464503, 0.20552943646907806, 0.9534883720930233, 0.9534317043454718
strmatch, 0.5537731051445007, 0.5042016806722689, 0.3756336149399733, 0.14628742635250092, 0.9327731092436975, 0.9325396825396826, 0.0520644411444664, 0.9915966386554622, 0.9915871332626369, 0.010725561529397964, 1.0, 1.0
schi, 0.42566657066345215, 1.0, 1.0, 0.09672615677118301, 1.0, 1.0, 0.018414009362459183, 1.0, 1.0, 0.002474737586453557, 1.0, 1.0
cmmdc, 0.8707412481307983, 0.3644859813084112, 0.2671232876712329, 0.48171383142471313, 0.7289719626168224, 0.6162028447742733, 0.3132498562335968, 0.897196261682243, 0.8840736728060672, 0.13611477613449097, 0.9439252336448598, 0.9380308880308881
stramosi, 0.594099760055542, 0.7241379310344828, 0.7043644472762026, 0.3123962879180908, 0.8448275862068966, 0.8446428571428573, 0.18184667825698853, 0.9310344827586207, 0.9305181191973644, 0.08591359108686447, 0.9827586206896551, 0.9827380952380953
party, 0.5889514684677124, 0.7009345794392523, 0.6805970149253732, 0.4441766142845154, 0.794392523364486, 0.7942307692307693, 0.40476375818252563, 0.8411214953271028, 0.8410659676714723, 0.305729478597641, 0.8598130841121495, 0.85961689845185
inversmodular, 1.2831891775131226, 0.47333333333333333, 0.3212669683257918, 0.32500365376472473, 0.88, 0.876282991202346, 0.12025777250528336, 0.9733333333333334, 0.9732142857142857, 0.1135556548833847, 0.98, 0.9798918629071898
inv, 0.43593862652778625, 0.9246575342465754, 0.9246257098606092, 0.2614586353302002, 0.910958904109589, 0.9102473164042181, 0.07180590182542801, 0.9657534246575342, 0.9657518179685667, 0.02217804454267025, 1.0, 1.0
evaluare, 0.29744309186935425, 0.9627329192546584, 0.962206572769953, 0.06827185302972794, 0.9751552795031055, 0.9747252747252747, 0.023389237001538277, 0.9937888198757764, 0.993647662260801, 0.013051098212599754, 0.9937888198757764, 0.993647662260801
